NTDID,AGENCY,CITY,STATE,UZA,MPO_AREA,MPO_FIPS,MPO_NAME
1,King County Department of Metro Transit,SEATTLE,WA,"Seattle, WA",Seattle,PSRC,Puget Sound Regional Council
3,Pierce County Transportation Benefit Area Authority,TACOMA,WA,"Seattle, WA",Seattle,PSRC,Puget Sound Regional Council
5,City of Everett,EVERETT,WA,"Seattle, WA",Seattle,PSRC,Puget Sound Regional Council
8,Tri-County Metropolitan Transportation District of Oregon,PORTLAND,OR,"Portland, OR-WA",Portland,Metro,Oregon Metro
20,Kitsap Transit,BREMERTON,WA,"Bremerton, WA",Seattle,PSRC,Puget Sound Regional Council
23,City of Seattle,Seattle,WA,"Seattle, WA",Seattle,PSRC,Puget Sound Regional Council
28,County of Pierce,TACOMA,WA,"Seattle, WA",Seattle,PSRC,Puget Sound Regional Council
29,Snohomish County Public Transportation Benefit Area Corporation,EVERETT,WA,"Seattle, WA",Seattle,PSRC,Puget Sound Regional Council
33,Senior Services of Snohomish County,Seattle,WA,"Seattle, WA",Seattle,PSRC,Puget Sound Regional Council
35,Washington State Ferries,OLYMPIA,WA,"Seattle, WA",Seattle,PSRC,Puget Sound Regional Council
40,Central Puget Sound Regional Transit Authority,SEATTLE,WA,"Seattle, WA",Seattle,PSRC,Puget Sound Regional Council
46,City of Wilsonville,WILSONVILLE,OR,"Portland, OR-WA",Portland,Metro,Oregon Metro
52,Metro,Portland,OR,"Portland, OR-WA",Portland,Metro,Oregon Metro
54,King County Ferry District,Seattle,WA,"Seattle, WA",Seattle,PSRC,Puget Sound Regional Council
58,City of Portland,PORTLAND,OR,"Portland, OR-WA",Portland,Metro,Oregon Metro
376,"Ride Connection, Inc.",PORTLAND,OR,"Portland, OR-WA",Portland,Metro,Oregon Metro
10003,Massachusetts Bay Transportation Authority,BOSTON,MA,"Boston, MA-NH-RI",Boston,MAPC,Metropolitan Area Planning Council
10004,Brockton Area Transit Authority,BROCKTON,MA,"Boston, MA-NH-RI",Boston,MAPC,Metropolitan Area Planning Council
10005,Lowell Regional Transit Authority,LOWELL,MA,"Boston, MA-NH-RI",Boston,MAPC,Metropolitan Area Planning Council
10013,Merrimack Valley Regional Transit Authority,HAVERHILL,MA,"Boston, MA-NH-RI",Boston,MAPC,Metropolitan Area Planning Council
10053,Cape Ann Transportation Authority,GLOUCESTER,MA,"Boston, MA-NH-RI",Boston,MAPC,Metropolitan Area Planning Council
10117,Plymouth & Brockton Street Railway Company,Plymouth,MA,"Boston, MA-NH-RI",Boston,MAPC,Metropolitan Area Planning Council
10118,MetroWest Regional Transit Authority,FRAMINGHAM,MA,"Boston, MA-NH-RI",Boston,MAPC,Metropolitan Area Planning Council
10129,Massachusetts Department of Transportation,Boston,MA,"Boston, MA-NH-RI",Boston,MAPC,Metropolitan Area Planning Council
20006,City of Long Beach,LONG BEACH,NY,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council
20007,"Metropolitan Suburban Bus Authority, dba: MTA Long Island Bus",Garden City,NY,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council
20008,MTA New York City Transit,BROOKLYN,NY,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council
20040,"New York Bus Tours, Inc., dba: New York Bus Service",Bronx,NY,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council
20071,Town of Huntington,HUNTINGTON,NY,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council
20072,Suffolk County ,YAPHANK,NY,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council
